,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,興櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1585,鎧鉅科技股份有限公司,鎧鉅,電子零組件業,－,新北市三峽區介壽路一段412巷19號,12642444,林柄達,蔣清河,蔣清河,執行董事兼總經理,徐惠娟,02-26685678,89/10/26,96/05/02,新台幣 10.0000元,539500000,53950000,0,0,合併,每年,股東會,兆豐證券股份有限公司,02-33930898,台北市中正區忠孝東路二段95號1樓,勤業眾信聯合會計師事務所,池瑞全,陳慧銘,TOPGREEN,"No.19, Ln.412, Sec. 1,Jieshou Rd.,Sanxia Dist.,New Taipei City 237,Taiwan R.O.C.",02-26685858,maggie@topgreentech.com,www.topgreentech.com,－,－,－,－,
1,2252,為昇科科技股份有限公司,為昇科,其他電子業,－,新竹縣竹北市台元街38號6樓之7,45127518,尤山泉,陳淨銘,鍾世忠,副總經理,蔡青翰,(03)560-0289,105/07/22,110/08/23,新台幣 10.0000元,910000000,91000000,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)2311-1838,台北市中正區重慶南路一段 83 號 5 樓,安侯建業聯合會計師事務所,張字信,陳政學,CUBTEK,"m.7, 6F., No.38, Taiyuan St.,Zhubei City, Hsinchu County Taiwan",(03)560-0291,sjchung@cubtek.com,https://www.cubtek.com/,－,－,－,－,https://www.cubtek.com/
2,2255,凱銳光電股份有限公司,凱銳光電,其他電子業,－,臺北市內湖區陽光街300號7樓之2,27420770,林傳凱,蔡仁晃,林傳凱,董事長,蔡仁晃,(02)5582-1818,93/08/11,110/11/30,新台幣 10.0000元,400000000,40000000,0,0,合併,每年,董事會,台新證券股務代理部,02-25048125,臺北市中山區建國北路一段96號B1,安侯建業聯合會計師事務所,黃柏淑,吳仲舜,JET,"7F.-2, No. 300, Yangguang St., Neihu Dist.Taipei City 114 , Taiwan (R.O.C.)",02-5582-0098,IR@jet-opto.com.tw,https://www.jet-opto.com.tw,－,－,－,－,https://www.jet-opto.com.tw
3,2256,歐特明電子股份有限公司,歐特明,其他電子業,－,新竹科學園區新竹市展業二路18號6樓,54101167,吳錫慶,吳錫慶,廖健武,財務處長,莊煜芳,03-6667968,101/12/12,110/12/08,新台幣 10.0000元,344950000,34495000,0,0,合併,每年,股東會,中國信託商業銀 代理部,(02)6636-5566,臺北市中正區重慶南路一段83號5樓,資誠聯合會計師事務所,江采燕,林一帆,oToBrite,"6F,No.18,Prosperity Rd.II,Science-Based Industrial ParkHsinchu,Taiwan,R.O.C.",03-6667186,sales@otobrite.com,https://www.otobrite.com/,－,－,－,－,https://www.otobrite.com/
4,3097,拍檔科技股份有限公司,拍檔,電腦及週邊設備業,－,(231)新北市新店區寶橋路233-1號10樓,23622986,陳其宏,王保鋅,王保鋅,總經理,劉銘哲,29188500,79/02/21,91/08/02,新台幣 10.0000元,750856050,75085605,0,0,合併,每年,董事會,日盛證券股份有限公司,(02)2541-9977,台北市中山區南京東路二段85號7樓,安侯建業聯合會計師事務所,唐慈杰,陳玫燕,PTT,"10F,NO.233-1,PAOCHIAO ROADSHIN TIEN,TAIPEI,TAIWAN,R.O.C.",29112344,stock_affairs@partner.com.tw,www.partner.com.tw,－,－,－,－,www.partner.com.tw
5,3117,年程科技股份有限公司,年程,電子零組件業,－,326桃園市楊梅區高獅路820之1號(聯絡地:高獅路863巷32號),89379218,薛維進,薛維進,傅從芳,經理,黃曉娟,(03)4962286,84/04/13,101/08/31,新台幣 10.0000元,228395470,22839547,0,0,合併,每年,股東會,第一金證券股份有限公司,(02)2563-5711,10688台北市大安區安和路一段27號6樓,安永聯合會計師事務所,陳國帥,洪茂益,TECSTAR,"NO.32 , Lane 863,Kou Shin Rd., Yang Mei Taoyuan , Taiwan , R.O.C",(03)4962285,tecstar@tecstar.com.tw,www.tecstar.com.tw,－,－,－,－,www.tecstar.com.tw
6,3135,凌航科技股份有限公司,凌航,半導體業,－,新北市中和區中正路716號6樓之2,16561718,曾珍,曾珍,梁煜旻,會計經理,無,02-77318808,87/07/30,110/11/22,新台幣 10.0000元,422191640,42219164,0,0,個別,每年,股東會,元大證券股份有限公司股務代理部,02-25863117,台北市大同區承德路三段210號B2,勤業眾信聯合會計師事務所,薛峻泯,姚勝雄,Goldkey Tech.,"6F.-2, No. 716, Zhongzheng Rd., Zhonghe Dist.　New Taipei City , Taiwan, R.O.C.",02-77316606,Jeremy@mail.goldkey.com.tw,www.goldkey.com.tw,－,－,－,－,https://mops.twse.com.tw/mops/web/index
7,3150,鈺寶科技股份有限公司,鈺寶,半導體業,－,新竹市公道五路2段101號10樓之1,16372688,蔡玲君,黃良駿,黃良駿,總經理,無,03-5169188,87/01/23,99/10/06,新台幣 10.0000元,309166350,30916635,0,0,個別,每年,董事會,福邦證券股份有限公司,02-2371-1658,台北市中正區忠孝西路一段6號6樓,資誠聯合會計師事務所,游淑芬,黃珮娟,SYNCOMM,"10F-1,No.101,Gongdao 5th Rd., Sec2, Hsinchu cityHsinchu City, Taiwan, R.O.C.",03-5169111,rita.liao@syncomm.com.tw,www.syncomm.com.tw,－,－,－,－,無
8,3158,嘉實資訊股份有限公司,嘉實,資訊服務業,－,新北市新店區民權路95號12樓之2,16795856,徐文伯,李政霖,徐文伯,董事長,李文華,29108899,88/03/25,107/03/16,新台幣 10.0000元,262979250,26297925,0,0,合併,每年,股東會,永豐金證券股份有限公司,23816288,100台北市博愛路17號3樓,資誠聯合會計師事務所,吳尚燉,郭柏如,SysJust,,89197179,ir@moneydj.com,http://www.sysjust.com.tw,－,－,－,－,建置中
9,3168,眾福科技股份有限公司,眾福科,光電業,－,(221)新北市汐止區新台五路一段93號30F,16274722,黃漢州,俞思平,黃昭維,副總經理,顏正勤,02-26976808,86/11/22,93/04/15,新台幣 10.0000元,693996490,69399649,20000000,0,合併,每年,董事會,富邦綜合證券股份有限公司,02-2361-1300,臺北市中正區許昌街17號2樓,勤業眾信聯合會計師事務所,葉淑娟,卓明信,DATA IMAGE,"30F., No.93, Sec. 1, Xintai 5th Rd., Xizhi Dist., New Taipei City 221, TaiwanNew Taipei City,Taiwan",02-26975808,VIC@dataimagecorp.com,www.dataimage.com.tw,－,－,－,－,不適用
