,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1336,台翰精密科技股份有限公司,台翰,電子零組件業,－,桃園市龜山區民生北路一段568號1樓,22589593,蔡鎮隆,蔡鎮隆,張誌仁,執行副總經理,遺缺待補,03-3112025,76/08/28,96/11/02,新台幣 10.0000元,770984190,77098419,0,0,合併,每年,股東會,永豐金證券(股)公司股務代理部,02-23816288,台北市中正區博愛路17號3樓,資誠聯合會計師事務所,吳郁隆,黃世鈞,TAIHAN,"1F., No. 568, Sec. 1, Minsheng N. Rd., Guishan Dist.Taoyuan City 333 , Taiwan (R.O.C.)",03-3112035,tony@thpt.com.tw,www.thpt.com.tw,張誌仁,執行副總經理,03-3112025,tony@thpt.com.tw,http://www.thpt.com.tw/parnerstocknews1.html
1,1569,濱川企業股份有限公司,濱川,電腦及週邊設備業,－,高雄市大寮區大發工業區興業路二號,76404919,蕭欽銘,蕭欽群,李璠,副總經理,金浩,07-7871521,72/03/30,94/07/29,新台幣 10.0000元,1206870810,120687081,0,0,合併,每年,股東會,富邦綜合證券股份有限公司,02-23611300,台北市中正區許昌街17號2樓,勤業眾信聯合會計師事務所,許瑞軒,劉裕祥,Bin Chuan,2 Shing Yeh Road Ta-fa Industrial ZoneKoahsiung Taiwan R.O.C,07-7871515,fan_lee@hamagawa.com,www.hamagawa.com,李璠,副總經理,07-7871521分機16,investors@hamagawa.com,http://www.hamagawa.com/
2,1595,川寶科技股份有限公司,川寶,電子零組件業,－,桃園市蘆竹區長興路三段277巷33號,16860440,張鴻明,張鴻明,簡麗真,協理,陳軒儀,03-3249948,88/02/19,100/10/04,新台幣 10.0000元,471481340,47148134,0,0,合併,每年,董事會,群益金鼎證券股份有限公司,02-27035000,台北巿敦化南路2段97號B2,勤業眾信聯合會計師事務所,葉東煇,林政治,CBT,"No.33, Ln. 277, Sec. 3, Changxing Rd., Luzhu Dist.,Taoy uan Cit y 338, Taiwan",03-3249968,spokesman@cbtech.com.tw,http://www.cbtech.com.tw/,簡麗真,協理,03-3249948#818,spokesman@cbtech.com.tw,http://www.cbtech.com.tw/
3,1785,光洋應用材料科技股份有限公司,光洋科,其他電子業,－,台南市安南區工業三路1號,43787872,馬堅勇,黃啟峰,黃啟峰,總經理,陳澤輝,06-5110123,67/08/29,94/01/31,新台幣 10.0000元,5919312430,591931243,60000000,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號B1,資誠聯合會計師事務所,林姿妤,林永智,Solar,"No.1, Gongye 3rd Rd., Annan Dist,Tainan City 70955, Taiwan (R.O.C.)",06-3843216,cf.huang@solartech.com.tw,http://www.solartech.com.tw/tw/index.html,陳澤輝,副處長,06-5110123,shareholders@solartech.com.tw,http://www.solartech.com.tw/tw/responsibility_business_conduct.html
4,1815,富喬工業股份有限公司,富喬,電子零組件業,－,雲林縣斗六市榴南里斗工十六路8號,16834268,張元賓,陳壁程,謝銘男,副總經理,楊閔安,02-27357658,88/01/14,95/01/23,新台幣 10.0000元,4284776700,428477670,0,0,合併,每年,股東會,富喬工業股份有限公司股務室,02-2705-1333,台北市敦化南路二段九十八號十二樓,勤業眾信聯合會計師事務所,王儀雯,林文欽,FFG,"NO8.Dou Kong 16 RoadDou Leu City,Taiwan.",02-27357698,jeffrey@ffg.com.tw,http://www.ffg.com.tw,謝銘男,副總經理,2735-7658#102,jeffrey@ffg.com.tw,http://www.ffg.com.tw/contact-02.asp
5,3066,李洲科技股份有限公司,李洲,光電業,－,新北市汐止區新台五路一段97號27樓,04541794,李明順,李明順,李明順,董事長,邱秀香,(02)27066258,63/05/24,93/12/02,新台幣 10.0000元,830706120,83070612,5500000,0,合併,每年,股東會,群益證券股份有限公司,02-27023999,台北市大安區敦化南路二段97號B2,勤業眾信聯合會計師事務所,洪國田,謝明忠,TAIWAN OASIS,"27F, No.97, Sec.1, Xintai 5th Rd., Xizhi Dist., New Taipei City 22175, TaiwanNew Taipei City, TAIWAN, R. O. C.",(02)26973658,candy.chiu@oasistek.com,http://www.oasistek.com,邱秀香,經理,(02)27066258,candy.chiu@oasistek.com,http://www.oasistek.com.tw/message.php#message5
6,3067,全域股份有限公司,全域,其他電子業,－,台北市東興路59號9樓,04934334,譚鴻翔,王敏烈,林仕群,協理,沈碧琪,(02)8768-2628,62/11/22,92/10/21,新台幣 10.0000元,200000000,20000000,0,0,合併,每年,股東會,元大証券股份有限公司,(02)2586-5859,103台北市大同區承德路三段210號地下一樓,國富浩華聯合會計師事務所,潘金樹,周伯儒,Phonic,"9F, 59 Tung Hsing Road, Taipei, Taiwan",(02)2659-2359,ir@phonic.com,www.phonic.com,林仕群,協理,(02)2659-2166,alvinlin@phonic.com,www.phonic.com
7,3071,協禧電機股份有限公司,協禧,電腦及週邊設備業,－,屏東市橋南里工業六路東段六號,90724033,黃瑞益,劉明雄,蔡政宏,董事長室特助,楊豐豪,(07)2695166,67/07/19,93/12/30,新台幣 10.0000元,1100000000,110000000,0,0,合併,每年,董事會,中國信託商業銀行代理部,02-66365566,台北市中正區重慶南路一段八十三號五樓,安永聯合會計師事務所,陳政初,黃宇廷,ADDA,"NO. 6 EAST SECTION INDUSTRY 6 RD. PINGTUNG CITY, TAIWAN. R. O. C",(07)2692011,tsai@adda.com.tw,http://www.adda.com.tw,蔡政宏,董事長室特助,(07)2695166-308,tsai@adda.com.tw,http://www.adda.com.tw/tw/stakeholders.php
8,3073,天方能源科技股份有限公司,天方能源,半導體業,－,台北市中山區吉林路99號3樓,86298705,甘正智,甘正智,徐韋吉,資深經理,黃小玲,02-2502-2285,80/10/22,96/10/08,新台幣 10.0000元,270995560,27099556,18394537,0,合併,每年,股東會,兆豐證券股份有限公司股務代理部,02-33930898,台北市忠孝東路二段95號1樓,安侯建業聯合會計師事務所,張淑瑩,陳國宗,Teamphon,"3F., No. 99, Jilin Rd.,Zhongshan Dist., Taipei City 104, Taiwan",02-2502-3669,info@tpenergy.com.tw,http://www.kb-ent.com.tw,朱乃文,課長,02-2502-2285#603,tim@tpenergy.com.tw,http://www.kb-ent.com.tw/news.aspx?ChannelID=4
9,3078,僑威科技股份有限公司,僑威,電子零組件業,－,桃園市蘆竹區南崁路二段222號,84573516,潘君威,楊琇華,楊丹純,財務長,陳欣茹,03-2220268,82/10/05,94/01/31,新台幣 10.0000元,2273910640,227391064,0,0,合併,每年,股東會,日盛證券股份有限公司股務代理部,02-2541-9977,台北市中山區南京東路二段85號7樓,勤業眾信聯合會計師事務所,楊清鎮,陳致源,CWT,"No.222,Sec.2,Nankan Rd.,Lujhu Dist.,Taoyuan City 338,Taiwan,R.O.C.",03-2223111,monica@mail.cwt.com.tw,www.cwt.com.tw,楊丹純,財務長,03-2220268#270,monica@mail.cwt.com.tw,http://www.cwt.com.tw/Investment/zhtw/formidable.aspx
