,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1471,首利實業股份有限公司,首利,電子零組件業,－,新北市五股區五權七路18號3樓,07699023,鄭傑,鄭傑,邱志偉,總經理特助,林大鈞,(02)2299-1907,71/10/21,89/03/06,新台幣 10.0000元,1504145360,150414536,5000000,0,合併,每年,董事會,福邦證券股份有限公司股務代理部,(02)23711658,臺北市中正區忠孝西路一段6號6樓,資誠聯合會計師事務所,徐永堅,吳漢期,SL,"3F,NO.18 Wu Chun 7 Rd.,Wu Gu Industry AreaWu Gu Shiang,Taipei,Taiwan,R.O.C",(02)2290-1974,solelytec@soly-tech.com,www.soly-tech.com,邱志偉,總經理特助,(02)2299-1907,David_chiou@soly-tech.com,www.soly-tech.com
1,1582,信錦企業股份有限公司,信錦,電子零組件業,－,新北市中和區建康路168號9樓,35966577,陳秋郎,陳秋郎,張雅惠,副總經理,劉皇佑,02-66215888,68/07/07,98/12/17,新台幣 10.0000元,1237241710,123724171,0,0,合併,每年,股東會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,勤業眾信會計師事務所,陳致源,黃堯麟,SYNCMOLD,"9F., No.168, Jiankang Rd.,Zhonghe Dist.New Taipei City 235, Taiwan (R.O.C.)",02-66216000,information@syncmold.com.tw,www.syncmold.com.tw,劉皇佑,副理,02-66215888,information@syncmold.com.tw,www.syncmold.com.tw/syncmold-2018/item_interested_person_2018.html
2,2059,川湖科技股份有限公司,川湖,電子零組件業,－,高雄市路竹區順安路275巷136號,22274989,林聰吉,林淑珍,王俊強,執行副總,蔡秋貞,(07)9599688,75/09/22,97/06/25,新台幣 10.0000元,952970720,95297072,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)6636-5566,台北市中正區重慶南路1段83號5樓,勤業眾信聯合會計師事務所,陳珍麗,江佳玲,king slide,"No. 136, Lane 275, Shun An Rd, Lu Chu District,Kaohsiung City, Taiwan R.O.C",(07)6967018,ir@kingslide.com,http://www.kingslide.com,林浩澤,投資人關係,(07)9761688分機7168,ir@kingslide.com,https://www.kingslide.com/about_csr_stakeholder/
3,2301,光寶科技股份有限公司,光寶科,電腦及週邊設備業,－,台北市內湖區瑞光路392號22樓,23357403,宋明峰,邱森彬,邱森彬,總經理,王玉玲,(02)8798-2888,78/03/17,84/11/17,新台幣 10.0000元,23508670320,2350867032,0,0,合併,每季,董事會,元大證券股份有限公司股務代理部,(02)2586-5859,103台北市大同區承德路三段210號B1,勤業眾信聯合會計師事務所,邱盟捷,蔡振財,LTC,"22F, 392 Ruey Kuang Road, NeihuTaipei 114, Taiwan, R.O.C.",(02)8798-2866,YiWen.Hsieh@liteon.com,http://www.liteon.com/,張簡佳怡,投資人關係,02-87982888,liteontech.ir@liteon.com,http://www.liteon.com/Page.aspx?id=67805d0f-c0cf-4218-a878-a597e7dd7f58
4,2302,麗正國際科技股份有限公司,麗正,半導體業,－,新北市土城區中山路71號,04982433,林怡岑,林怡岑,劉鳳琴,主任,林瑞萍,02-28801122,65/01/23,74/01/15,新台幣 10.0000元,1663028810,166302881,0,0,合併,每年,股東會,國票綜合證券(股)公司股務代理部,02-25288988,台北市松山區南京東路五段188號15樓,安侯建業聯合會計師事務所,陳宗哲,賴麗真,RECTRON,"71, Zhongshan Rd., Tucheng Dist.,New Taipei City, Taiwan",02-28816935,lydia@rectron.com.tw,www.rectron.com.tw,劉鳳琴,主任,02-28801122,lydia@rectron.com.tw,www.rectron.com.tw
5,2303,聯華電子股份有限公司,聯電,半導體業,－,新竹科學園區新竹市力行二路三號,47217677,洪嘉聰,簡山傑、王石,劉啟東,資深副總經理暨財務長,林俊宏、翁兆韋,03-5782258,69/05/22,74/07/16,新台幣 10.0000元,124832475660,12483247566,0,0,合併,每年,股東會,宏遠證券股份有限公司,02-23268818,台北市大安區信義路四段236號3樓,安永聯合會計師事務所,邱琬茹,許新民,UMC,"NO.3, LI-SHIN ROAD II, HSINCHU SCIENCE PARKHSINCHU CITY, TAIWAN, R.O.C.",03-5781789,IR@UMC.COM,WWW.UMC.COM,翁兆韋,經理,02-26589168,David_Wong@UMC.com,WWW.UMC.COM
6,2305,全友電腦股份有限公司,全友,電腦及週邊設備業,－,新竹市科學工業園區工業東三路六號,47226140,許正勳,謝靜慧,李雅敏,協理,張靖琪,(03)5772155,69/10/23,77/10/21,新台幣 10.0000元,2056608270,205660827,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,(02)2702-3999,台北市大安區敦化南路二段97號B2,安侯建業聯合會計師事務所,區耀軍,黃海寧,MII,"No.6 Industry E. Road 3 Science-Based Industrial ParkHsinchu,Taiwan,R.O.C.",(03)5772598,julie.chu@microtek.com.tw,www.microtek.com.tw,李雅敏,協理,(03)5772155,amy.lee@microtek.com.tw,ww7.microtek.com.tw
7,2308,台達電子工業股份有限公司,台達電,電子零組件業,－,台北市內湖區瑞光路186號,34051920,海英俊,張訓海,周志宏,永續長,施孟璁,(02)87972088,64/08/20,77/12/19,新台幣 10.0000元,25975433290,2597543329,0,0,合併,每年,股東會,中國信託商業銀行股份有限公司,(02)6636-5566,100台北市中正區重慶南路一段八十三號五樓,資誠聯合會計師事務所,林玉寬,周建宏,DELTA,"No. 186, Ruey Kuang Road, Neihu DistrictTaipei City 11491, Taiwan",(02)87972351,2308@deltaww.com,https://www.deltaww.com/zh-TW/index,劉致遠,投資人關係經理,(02)87972088,2308@deltaww.com,https://csr.deltaww.com/about/csr_Communication_ch.aspx?secID=9&pid=0&tid=4&hl=zh-TW
8,2312,金寶電子工業股份有限公司,金寶,其他電子業,－,(105)臺北市南京東路五段99號10樓,04370927,許勝雄,陳威昌,許文漢,資深處長,游千慧,(02)26622660,62/04/24,78/11/07,新台幣 10.0000元,14704392110,1470439211,0,0,合併,每年,董事會,中國信託商業銀行代理部,(02)66365566,(100)臺北市重慶南路一段83號5樓,安永聯合會計師事務所,林素雯,陳智忠,KINPO,"10TH FL., 99 NAN-JING E. RD., SEC. 5,TAIPEI, TAIWAN, R.O.C.",(02)26624900,stock@kinpo.com.tw,www.kinpo.com.tw,許文漢,資深處長,(02)26622660-12227,stock@kinpo.com.tw,www.kinpo.com.tw/Chinese/relation.aspx
9,2313,華通電腦股份有限公司,華通,電子零組件業,－,桃園市蘆竹區新莊里大新路814巷91號,04401392,吳 健,江培琨,陳嘉懃,執行副總裁,林而群,(03)3231111,62/08/30,79/07/24,新台幣 10.0000元,11918205890,1191820589,0,0,合併,每年,董事會,台新證券股務代理部,(02)25048125,台北市建國北路一段96樓B1,正風聯合會計師事務所,吳欣亮,鄭憲修,COMPEQ MFG.,"No. 91, Ln. 814, Daxin Rd., Shin-juang Vil. Luzhu Dist.,Taoyuan City, Taiwan R.O.C",(03)3138150,tw2313@compeq.com.,www.compeq.com.tw,林而群,代理發言人,03-3231111,tw2313@compeq.com.,www.compeq.com.tw/relationship.php
